,Age,Fare,Survived,Pclass_2,Pclass_3,Sex_male,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6
0,22,7.25,0,false,true,true,true,false,false,false,false,false,false,false,false,false,false
1,38,71.2833,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false
2,26,7.925,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
3,35,53.1,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false
4,35,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
6,54,51.8625,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
7,2,21.075,0,false,true,true,false,false,true,false,false,true,false,false,false,false,false
8,27,11.1333,1,false,true,false,false,false,false,false,false,false,true,false,false,false,false
9,14,30.0708,1,true,false,false,true,false,false,false,false,false,false,false,false,false,false
10,4,16.7,1,false,true,false,true,false,false,false,false,true,false,false,false,false,false
11,58,26.55,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12,20,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
13,39,31.275,0,false,true,true,true,false,false,false,false,false,false,false,false,true,false
14,14,7.8542,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false
15,55,16,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
16,2,29.125,0,false,true,true,false,false,false,true,false,true,false,false,false,false,false
18,31,18,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
20,35,26,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false
21,34,13,1,true,false,true,false,false,false,false,false,false,false,false,false,false,false
22,15,8.0292,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
23,28,35.5,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false
24,8,21.075,0,false,true,false,false,false,true,false,false,true,false,false,false,false,false
25,38,31.3875,1,false,true,false,true,false,false,false,false,false,false,false,false,true,false
27,19,263,0,false,false,true,false,false,true,false,false,false,true,false,false,false,false
30,40,27.7208,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
33,66,10.5,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false
34,28,82.1708,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false
35,42,52,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false
37,21,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
38,18,18,0,false,true,false,false,true,false,false,false,false,false,false,false,false,false
39,14,11.2417,1,false,true,false,true,false,false,false,false,false,false,false,false,false,false
40,40,9.475,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
41,27,21,0,true,false,false,true,false,false,false,false,false,false,false,false,false,false
43,3,41.5792,1,true,false,false,true,false,false,false,false,false,true,false,false,false,false
44,19,7.8792,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
49,18,17.8,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
50,7,39.6875,0,false,true,true,false,false,false,true,false,true,false,false,false,false,false
51,21,7.8,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
52,49,76.7292,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false
53,29,26,1,true,false,false,true,false,false,false,false,false,false,false,false,false,false
54,65,61.9792,0,false,false,true,false,false,false,false,false,true,false,false,false,false,false
56,21,10.5,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
57,28.5,7.2292,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
58,5,27.75,1,true,false,false,true,false,false,false,false,false,true,false,false,false,false
59,11,46.9,0,false,true,true,false,false,false,false,true,false,true,false,false,false,false
60,22,7.2292,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
61,38,80,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false
62,45,83.475,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false
63,4,27.9,0,false,true,true,false,false,true,false,false,false,true,false,false,false,false
66,29,10.5,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
67,19,8.1583,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
68,17,7.925,1,false,true,false,false,false,false,true,false,false,true,false,false,false,false
69,26,8.6625,0,false,true,true,false,true,false,false,false,false,false,false,false,false,false
70,32,10.5,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false
71,16,46.9,0,false,true,false,false,false,false,false,true,false,true,false,false,false,false
72,21,73.5,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false
73,26,14.4542,0,false,true,true,true,false,false,false,false,false,false,false,false,false,false
74,32,56.4958,1,false,true,true,false,false,false,false,false,false,false,false,false,false,false
75,25,7.65,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
78,0.83,29,1,true,false,true,false,false,false,false,false,false,true,false,false,false,false
79,30,12.475,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
80,22,9,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
81,29,9.5,1,false,true,true,false,false,false,false,false,false,false,false,false,false,false
83,28,47.1,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
84,17,10.5,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
85,33,15.85,1,false,true,false,false,false,true,false,false,false,false,false,false,false,false
86,16,34.375,0,false,true,true,true,false,false,false,false,false,false,true,false,false,false
88,23,263,1,false,false,false,false,false,true,false,false,false,true,false,false,false,false
89,24,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
90,29,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
91,20,7.8542,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
92,46,61.175,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false
93,26,20.575,0,false,true,true,true,false,false,false,false,false,true,false,false,false,false
94,59,7.25,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
96,71,34.6542,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
97,23,63.3583,1,false,false,true,false,false,false,false,false,true,false,false,false,false,false
98,34,23,1,true,false,false,false,false,false,false,false,true,false,false,false,false,false
99,34,26,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false
100,28,7.8958,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false
102,21,77.2875,0,false,false,true,false,false,false,false,false,true,false,false,false,false,false
103,33,8.6542,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
104,37,7.925,0,false,true,true,false,true,false,false,false,false,false,false,false,false,false
105,28,7.8958,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
106,21,7.65,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
108,38,7.8958,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
110,47,52,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
111,14.5,14.4542,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
112,22,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
113,20,9.825,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
114,17,14.4583,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false
115,21,7.925,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
116,70.5,7.75,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
117,29,21,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false
118,24,247.5208,0,false,false,true,false,false,false,false,false,true,false,false,false,false,false
119,2,31.275,0,false,true,false,false,false,false,true,false,false,true,false,false,false,false
120,21,73.5,0,true,false,true,false,true,false,false,false,false,false,false,false,false,false
122,32.5,30.0708,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false
123,32.5,13,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
124,54,77.2875,0,false,false,true,false,false,false,false,false,true,false,false,false,false,false
